SKU,ASIN,MSKU,Item_name,Pack_size,Brand,purchase_cost,Per_Item_Weight,Length,Width,Height,1
nova00727,B0BFLQVTCJ,0,Jioo Organics Somlata Soma Ephedra Gerardiana 100gm,1,,,,,,,
novadignew519,B07PW9Z45N,0,Arya Vadiya Sala Chandanosiradi Kashayam 200 ml X 1PcsOne Free Prakruthi Ginger Candy for Each Order.,1,,,,,,,
nova00517,B07NTP5V4P,0,Dhootapapeshwar Pushyanuga Churna - 120 gm,1,,,,,,,
1140220,B0943G1W7V,0,Indus Valley Natural Damage Free Men Mustache & Beard Color for Gray Hair Black,1,,,,,,,
26424113,B0BNNPY1Z4,0,Plum BodyLovin' Body Shimmer Oil - Copper Sheen | Intense colour payoff | Non-greasy | Long-lasting shimmer | Deep moisture |Fruity Fragrance,1,,,,,,,
novadignew1578,B09KNB7RM8,0,NWIL Ayurveda Kalyanaka Ghritham jar of 150 ml Paste,1,,,,,,,
14042506,B01CZQ5N08,0,Pack of 8 - Vaidyaratnam Bruhath Triphala Choornam - 100g,1,,,,,,,
nova00357,B08MYPDNCX,0,"Amul Fresh Cream, 250ML (Pack of 3)",3,,,,,,,
RoopakStores469,B09C2CQJGF,0,Roopak Zeera Aloo Masala (100gm),1,,,,,,,
RoopakStores451,B09C2CYXFW,0,Roopak Pudina Raita Masala (100gm),1,,,,,,,
nova00032,B07931W44F,0,The Moms Co. Tear-Free Natural Baby Shampoo with USDA-Certified Organic Argan and Moringa Seed Oils - 200ml,1,,,,,,,
42022,B00TCKTG4A,0,Dr. Reckeweg Dr.Reckeweg-Germany Alfalfa Tonic - 250 Ml (General Tonic Energizes Vital Function),1,,,,,,,
Charak104,B078NFX8DX,0,Charak Cephagraine Nasal Drops 15ml x pack of 3,3,,,,,,,
novadignew2069,B091CM3P5S,0,Glow Skin Naturally | Recommended by celebrities & dermatologist | Natural & Low calorie Ayurvedic drink Auric Skin Radiance (Pack Of 2 Bottles),2,,,,,,,
Dabur3315,7709777481,0,"Dabur Pudin Hara Active, 30 Ml - Pet Bottle (Pack Of 4)",4,,,,,,,
1034377,B08KD26VJ3,0,Vaidyaratnam Murivenna Ointment 20gram (Pack of 4)| Ayurvedic Products | Ayurveda Products | Vaidyaratnam Products,4,,,,,,,
1135183,B07TCGBBH4,0,Suhana Cuppa Misal Refill Pouch Ready to Eat Instant Breakfast - Pack of 6,6,,,,,,,
14042525,B08G56B1W2,0,"KILLI Nut Grass | Cyperus rotundus | Korai Kizhangu Tuber Powder, 100g",1,,,,,,,
nova00525,B08RB5MCYG,0,Dhootapapeshwar Ayurvedic Drakshovin Special Tonic (330 ML) by Exportmall,1,,,,,,,
nova00574,B07GQC7VYD,0,"AADAR Re-LAX Constipation Relief, Ayurvedic Digestion Support and Bowel Wellness Capsules, 60 Units - with Senna, Harade, Ajwain Capsules for Digestion",1,,,,,,,
nova00615,B07XTPFH7W,0,GO DESi Tamarind Lollipops | 50 Pieces | Fruit Candy | Desi Pops | 400 gm | Non-Spicy (Sweet and Sour),1,,,,,,,
100724031,B096KKFNV6,0,"OZiva Plant Based Biotin Powder 10000Mcg+ With Amla For Men & Women, Better Hair Growth, Hairfall Control & Healthier Skin, Certified Clean & Vegan, 125 Gm",1,,,,,,,
