Date_shipped,Tracking_number,Inventory,Order_item,MSKU,SKU,Item_name,Quantity,Shipped_From,Shipped_To,Date_received,Received,Partially_received,Damaged,C,C
2025-05-05,123123134,expired,300,PATAN-NOVA-3404-01,PATAN-NOVA-3404-01,Patanjali Divya Abhrak Bhasma 5g,15,0,19,2025-05-05,15,0,0,40,
2025-05-05,123123134,adjustment,301,PATAN-NOVA-858-01,PATAN-NOVA-858-01,Patanjali Amla Candy 250g,-1,0,19,2025-05-05,-1,0,0,0,
2025-05-05,123123134,adjustment,302,PATAN-NOVA-1613-01,PATAN-NOVA-1613-01,Patanjali Divya Amla Churna 100g,-3,0,19,2025-05-05,-3,0,0,1,
2025-05-05,123123134,adjustment,303,1017152,1017152,Amla Cool Oil,-1,0,19,2025-05-05,-1,0,0,0,
2025-05-05,123123134,adjustment,304,1024452,1024452,Patanjali Divya Arogyavardhini Vati 160 Tabs,4,0,19,2025-05-05,4,0,0,5,
2025-05-05,123123134,adjustment,305,1024500,1024500,Patanjali Divya Arshkalp Vati Tablets - 80,-2,0,19,2025-05-05,-2,0,0,0,
2025-05-05,123123134,adjustment,306,HCAVPT0134,HCAVPT0134,Patanjali Ashmarihar Ras 50g,1,0,19,2025-05-05,1,0,0,20,
2025-05-05,123123134,adjustment,307,PATAN-NOVA-2180-01,PATAN-NOVA-2180-01,Patanjali Ashokaristh/ Ashokarishta 450ml,1,0,19,2025-05-05,1,0,0,2,
2025-05-05,123123134,adjustment,308,Pac517,Pac517,Patanjali Ayurveda Ashwagandha Capsule,-4,0,19,2025-05-05,-4,0,0,0,
2025-05-05,123123134,expired,309,PATAN-NOVA-1572-01,PATAN-NOVA-1572-01,Patanjali Bala Churna 100g,-3,0,19,2025-05-05,-3,0,0,0,
2025-05-05,123123134,expired,310,PATAN-NOVA-1578-01,PATAN-NOVA-1578-01,Patanjali Bilwadi Churna 100g,-6,0,19,2025-05-05,-6,0,0,0,
2025-05-05,123123134,expired,311,PATAN-NOVA-7952-01,PATAN-NOVA-7952-01,Patanjali Divya Brahmi Churna 100g,-5,0,19,2025-05-05,-5,0,0,0,
2025-05-05,123123134,adjustment,312,PATAN-NOVA-428-01,PATAN-NOVA-428-01,Patanjali Chyawanprash 1kg,2,0,19,2025-05-05,2,0,0,2,
2025-05-05,123123134,adjustment,313,PATAN094,PATAN094,Patanjali Dant Kanti Dental Cream 100g,-4,0,19,2025-05-05,-4,0,0,0,
2025-05-05,123123134,adjustment,314,PATAN-NOVA-1319-01,PATAN-NOVA-1319-01,Patanjali Advanced Dant Kanti Manjan 100g,-2,0,19,2025-05-05,-2,0,0,3,
2025-05-05,123123134,expired,315,PATAN-NOVA-2422-01,PATAN-NOVA-2422-01,Patanjali Dashmool Kwath 100g,-34,0,19,2025-05-05,-34,0,0,0,
2025-05-05,123123134,adjustment,316,PATAN-NOVA-2181-01,PATAN-NOVA-2181-01,Patanjali Dashmularishta 450ml,1,0,19,2025-05-05,1,0,0,3,
2025-05-05,123123134,expired,317,PATAN-NOVA-29247-01,PATAN-NOVA-29247-01,Patanjali Divya Dant Manjan 100g,-9,0,19,2025-05-05,-9,0,0,0,
2025-05-05,123123134,adjustment,318,PATAN-NOVA-1667-01,PATAN-NOVA-1667-01,Patanjali Divya Peya 100g,-5,0,19,2025-05-05,-5,0,0,0,
2025-05-05,123123134,adjustment,319,HCAVPT0026,HCAVPT0026,Gashar Churna 100 gm,-12,0,19,2025-05-05,-12,0,0,0,
2025-05-05,123123134,expired,320,HCAVPT0093,HCAVPT0093,Giloy Sat 5gm,-12,0,19,2025-05-05,-12,0,0,0,
2025-05-05,123123134,adjustment,321,PATAN-NOVA-1664-01,PATAN-NOVA-1664-01,Patanjali Divya Gokshuradi Guggul 40 Tab,-2,0,19,2025-05-05,-2,0,0,3,
2025-05-05,123123134,adjustment,322,1024656,1024656,Patanjali Divya Gokshuradi Guggul 80tabs,3,0,19,2025-05-05,3,0,0,3,
2025-05-05,123123134,adjustment,323,PATAN-NOVA-1606-01,PATAN-NOVA-1606-01,Patanjali Divya Haridrakhand 100g,1,0,19,2025-05-05,1,0,0,5,
