invoiceidno,itemdescription,quantity,rate,msku,
7367,Hypericum Perforatum,2,198.73,42098,
7368,Pure Silver Lalitha Idol 19g,1,3096.6,900941,
7369,Justicia Adhatoda,1,227.96,42077,
7370,Stramonium 30 CH,1,219.49,42708,
7371,Cascara Sagrada,1,427.12,42130,
7372,Dr Willmar Schwabe India Senega Mother Tincture Q,1,304.24,WILLSCH3256,
7373,Argentum Nitricum 1000 CH,1,261.86,44098,
7374,Hyoscyamus Niger 1000,1,261.86,44418,
7375,Gnaphalium Polycephalum 30 CH,1,219.49,43293,
7376,Hypericum Perforatum,1,240.68,42098,
7377,Brass Apple Shape Ashtray | Ash Tray 0.19kg,1,1029.66,1021043,
7378,Dr. Reckeweg Oleum Jecoris Aselli Dilution 30 CH,1,232.2,39125,
7379,Hernia Drops 30ml,1,253.39,1024189,
7380,Boerhaavia Diffusa,1,227.96,42081,
7381,Alumina 200 C,1,236.44,42733,
7382,Boldo,1,261.86,42116,
7383,Bacillinum Dilution 200 CH,1,236.44,1021333,
7384,Croton Tiglium,2,186.02,42330,
7385,Hypericum Perforatum,1,240.68,42098,
7386,Thiosinaminum 30 CH,1,219.49,42987,
7387,Anacardium Occidentale 200 CH,1,236.44,42826,
7388,Antimonium Tartaricum 200C,1,236.44,42886,
7389,Cinchona Officinalis,1,227.96,42088,
7390,SBL Adonis Vernalis Mother Tincture Q,1,342.37,42307,
7391,Yohimbinum Dilution 30 CH (30 ml),1,219.49,44389,
7392,Hypericum Perforatum,1,240.68,42098,
7393,Hypericum Perforatum,1,240.68,42098,
7394,Carcinosin Dilution 200 CH,1,236.44,43006,
7395,SBL Calcarea carbonica 200,1,236.44,42599,
7396,Nyctanthes Arbortristis,1,227.97,42145,
7397,Cochlearia Armoracia,1,261.86,42086,
7398,Hydrocotyle Asiatica,1,227.97,42087,
7399,Piscidia Erythrina,1,380.51,42115,
7400,Hydrocotyle Asiatica,1,227.97,42087,
7401,Insulinum 30CH,2,177.54,42988,
7402,Hydrocotyle Asiatica,3,172.03,42087,
7403,SBL Iodium Dilution 30 CH,1,219.49,42816,
7404,SBL Acidum Salicylicum Mother Tincture Q,1,253.39,42155,
