shippeddate,trackingnumber,inventorytype,orderitemid,msku,sku,item_name,quantity,shippedfrom,shippedto,qtyreceived,partiallyreceived,damaged,physicalweight,length,width,height,propweight,invoicenumber
2025-04-26,37251190513,stock,1,3220053,3220053,Zandu Pancharishta,4,23,20,4,0,0,560,3,3,13,98.2045929,12312313
2025-04-26,37251190513,stock,2,1024150,1024150,Zandu Balm - 25ml,6,23,20,6,0,0,70,8.7,8.2,5.1,19.14116242,12312313
2025-04-26,37251190513,stock,3,Dabur3376,Dabur3376,Dabur Ayurvedic Erand Tail (Castor Oil) 100ml,6,23,20,6,0,0,180,3,3,8,47.34864301,12312313
2025-04-26,37251190513,stock,4,1146595,1146595,Dabur Shilajit Gold 20caps,10,23,20,10,0,0,185,8,3,12,81.10647182,12312313
2025-04-26,37251190513,stock,5,Dabur3295,Dabur3295,Dabur Honitus Syrup - 100ml,4,23,20,4,0,0,220,4.8,4.8,12.5,38.58037578,12312313
2025-04-26,37251190513,stock,6,1036662,1036662,B17 drops,12,23,20,12,0,0,95,9.6,3.7,3.7,49.97912317,12312313
2025-04-26,37251190513,stock,7,22994,22994,Softovac Bowel Regulator Powder - 100 grm,4,23,20,4,0,0,165,6,5,16,28.93528184,12312313
2025-04-26,37251190513,stock,8,23010,23010,Softovac-SF Bowel Regulator Powder Sugar Free jar 100 gm,4,23,20,4,0,0,155,6,5,16,27.18162839,12312313
2025-04-26,37251190513,stock,9,Aimil4131,Aimil4131,Aimil Ayurvedic Neeri Syrup - 200ml,6,23,20,6,0,0,270,3.5,3.5,12,71.02296451,12312313
2025-04-26,37251190513,stock,10,42022,42022,Dr. Reckeweg Alfalfa Tonic - 250ml,2,23,20,2,0,0,270,5,5,5,23.6743215,12312313
2025-04-26,37251190513,stock,11,38346,38346,Dr Reckeweg R73 ,10,23,20,10,0,0,95,6.3,2.64,2.48,41.64926931,12312313
2025-04-26,37251190513,stock,12,38370,38370,Dr. Reckeweg R9 ,20,23,20,20,0,0,95,20,10,10,350.7306889,12312313
2025-04-26,37251190513,stock,13,38374,38374,Dr. Reckeweg R25,20,23,20,20,0,0,95,5,5,5,83.29853862,12312313
2025-04-26,37251190513,stock,14,38354,38354,Dr. Reckeweg R65 ,10,23,20,10,0,0,95,2.5,2.5,7,41.64926931,12312313
2025-04-26,37251190513,stock,15,1023974,1023974,Dabur Abhayarishta - 450ml,2,23,20,2,0,0,550,4,4,15.2,48.22546973,12312313
2025-04-26,37251190513,stock,16,38368,38368,Dr. Reckeweg R49,10,23,20,10,0,0,95,2.5,2.5,7,41.64926931,12312313
2025-04-26,37251190513,stock,17,11429643,11429643,Zandu Sudarshan Ghan Vati 40tab,12,23,20,12,0,0,30,5,3.5,11,20.25469729,12312313
